Sample.ID,Field.Site,Location,Depth..cm.,Sample.Type,Sample.Extraction,Date,Time..PST.,Date.Time,NH4_ppm,NH4_Unc,NO2_ppm,NO2_Unc,NO3_ppm,NO3_Unc
ES21_0051,CR,N4_PD,300,Pore water,Pump,3/2/21,9:20,3/2/21 9:20,0.224,0.0224,0.004189,0.00062835,0.195107,0.02926605
ES21_0068,CR,N4_PD,300,Pore water,Pump,4/14/21,10:30,4/14/21 10:30,0.554,0.0554,0.0222,0.00333,0.0936,0.01404
ES21_0135,CR,N4_PD,300,Pore water,Pump,6/24/21,13:15,6/24/21 13:15,2.554088,0.2554088,0.00157609,0.000157609,0.1048314,0.01048314
ES21_0169,CR,N4_PD,300,Pore water,Pump,7/15/21,14:50,7/15/21 14:50,2.64628,0.264628,0,0,0.09978832,0.009978832
ES21_0354,CR,N4_PD,300,Pore water,Pump,8/4/21,17:03,8/4/21 17:03,0.8225,0.0658,0,0,0.454998,0.0454998
ES21_0410,CR,N4_PD,300,Pore water,Pump,8/16/21,17:35,8/16/21 17:35,1.4788,0.14788,0,0,0.11251406,0.011251406
ES21_0135,CR,N4_PD,300,Pore water,Pump,6/24/21,13:15,6/24/21 13:15,0.641,0.0641,0,0,0.137504,0.0137504
ES21_0443,CR,N4_PD,300,Pore water,Pump,9/14/21,10:25,9/14/21 10:25,1.2654,0.12654,0,0,0.1205152,0.01205152
ES21_0480,CR,N4_PD,300,Pore Water,Pump,10/12/21,15:20,10/12/21 15:20,0.388532,0.0194266,2.00E-05,2.00E-06,0.071396,0.00428376
ES21_0388,CR,N4_PD,300,Pore water,Pump,8/4/21,21:44,8/4/21 21:44,1.047792,0.0523896,2.00E-05,2.00E-06,0.065223,0.00391338