TimeStep,Time,Q (CFS),Q [mm],P,Cin_Olive,Cin_AR
1,12:30,0.276067468,0.00781736,0,NA,NA
2,14:00,0.274022713,0.007759459,0,NA,NA
3,15:30,0.273479876,0.007744088,0,NA,NA
4,17:00,0.273479876,0.007744088,0,NA,NA
5,18:30,0.272122782,0.007705659,0,NA,NA
6,20:00,0.272937038,0.007728716,0.01,-10.87791,-4.346447
7,21:30,0.270765688,0.007667231,0.03,-10.90427,-4.743511
8,23:00,0.2762558,0.007822693,0.04,-10.97289,-5.173064
9,0:30,0.379604681,0.010749208,0.11,-11.14059,-5.20916
10,2:00,0.584633679,0.016554982,0.17,-11.27579,-5.256213
11,3:30,1.31228045,0.037159645,0.14,-11.35892,-5.280265
12,5:00,2.123720462,0.060137067,0.2,-11.48603,-5.313147
13,6:30,2.940585878,0.08326812,0.18,-11.51,-5.365261
14,8:00,3.356058112,0.095032984,0.25,-11.52645,-5.4092
15,9:30,4.068093076,0.115195569,0.15,-11.60993,-5.758631
16,11:00,14.94921836,0.423314729,0.16,-11.73892,-5.868744
17,12:30,3.449926036,0.097691028,0.23,-11.7679,-5.884386
18,14:00,2.471847154,0.069994918,0.13,-11.87845,-5.885637
19,15:30,2.15955978,0.061151924,0.16,-11.89372,-5.919804
20,17:00,2.15955978,0.061151924,0.16,-11.94571,-6.162311
21,18:30,1.941968045,0.054990412,0.12,-11.96146,-6.180342
22,20:00,1.809950222,0.051252084,0.15,-11.99699,-6.340313
23,21:30,1.716454423,0.048604577,0.13,-12.04297,-6.425668
24,23:00,1.891987286,0.053575115,0.16,-12.11394,-6.547467
25,10:00,1.437024043,0.04069199,0.04,-12.3344,-7.133643
26,12:00,1.461887088,0.041396033,0.02,-12.34501,-7.180858
27,14:00,1.746020921,0.049441807,0.05,-12.49197,-7.227634
28,16:00,1.779066816,0.050377563,0.03,-12.58269,-7.355971
29,18:00,1.720060626,0.048706694,0.06,-12.94577,-7.544128
30,20:00,1.58114679,0.044773092,0.03,-13.09983,-7.555189
31,22:00,1.485996096,0.042078724,0.02,-13.18105,-7.597641
32,0:00,1.423660397,0.040313574,0.01,-13.2265,-7.598969
33,2:00,1.384111994,0.039193688,0.01,-14.24679,-7.68236
34,4:00,1.341227241,0.037979327,0,NA,NA
35,6:00,1.302782264,0.036890686,0,NA,NA
36,8:00,1.276232897,0.036138892,0,NA,NA
37,10:00,1.251747719,0.035445549,0,NA,NA
38,12:00,1.387135136,0.039279293,0,NA,NA
39,14:00,1.423788099,0.04031719,0,NA,NA
40,16:00,1.354906246,0.038366673,0,NA,NA
41,18:00,1.29707078,0.036728955,0,NA,NA
42,20:00,1.255515294,0.035552234,0,NA,NA
43,22:00,1.233126573,0.034918256,0,NA,NA
44,0:00,1.214601822,0.034393694,0,NA,NA
45,2:00,1.209050818,0.034236507,0,NA,NA
46,4:00,1.188887379,0.033665542,0,NA,NA
47,6:00,1.174331296,0.03325336,0,NA,NA
48,8:00,1.154433401,0.032689914,0,NA,NA
49,10:00,1.154425347,0.032689686,0,NA,NA
50,12:00,1.141861896,0.032333929,0,NA,NA
51,14:00,1.127571592,0.031929272,0,NA,NA
52,16:00,1.124005061,0.031828279,0,NA,NA
53,18:00,1.109827647,0.03142682,0,NA,NA
54,20:00,1.093979932,0.030978062,0,NA,NA
55,22:00,1.085224984,0.03073015,0,NA,NA
56,0:00,1.083482072,0.030680796,0,NA,NA
57,2:00,1.071289771,0.030335549,0,NA,NA
58,4:00,1.07128169,0.03033532,0,NA,NA
59,6:00,1.059145955,0.029991674,0,NA,NA
60,8:00,1.05398998,0.029845673,0,NA,NA
61,10:00,1.052238966,0.02979609,0,NA,NA
62,12:00,1.048801647,0.029698756,0,NA,NA
63,14:00,1.100554476,0.031164233,0,NA,NA
64,16:00,1.091965587,0.030921022,0,NA,NA
65,18:00,1.084112952,0.030698661,0,NA,NA
66,20:00,1.0766764,0.030488081,0,NA,NA
67,22:00,1.069364105,0.03028102,0,NA,NA
68,0:00,1.062367429,0.030082896,0,NA,NA
69,2:00,1.056072752,0.029904651,0,NA,NA
70,4:00,1.004055629,0.02843169,0,NA,NA
71,6:00,1.002851149,0.028397583,0,NA,NA
72,8:00,1.004553629,0.028445791,0,NA,NA