Date,DATE,STA_1,STA_6,STA_14,STA_INT,STA_HQ,STA_23,STA_17,STA_24
110106,1/6/2011,-11,-12,-13,-10,-9,-11,-14,-12
110107,1/7/2011,-11,-12,-11,-10,-8,-10,-12,-11
110108,1/8/2011,-8,-9,-8,-8,-5,-6,-9,-7
110109,1/9/2011,-8,-9,-11,-8,-3,-8,-11,-10
110110,1/10/2011,-9,-11,-12,-10,-6,-10,-13,-10
110111,1/11/2011,-7,-9,-12,-8,-6,-9,-12,-10
110112,1/12/2011,-7,-9,-9,-8,-6,-7,-10,-8
110113,1/13/2011,-11,-12,-13,-11,-8,-10,-13,-11
110114,1/14/2011,-12,-14,-15,-12,-10,-13,-16,-14
110115,1/15/2011,-13,-14,-14,-13,-11,-13,-15,-14
110116,1/16/2011,-11,-13,-12,-10,-7,-10,-12,-11
110117,1/17/2011,-15,-18,-20,-16,-12,-17,-21,-19
110118,1/18/2011,-8,-10,-10,-10,-10,-8,-11,-8
110119,1/19/2011,-4,-6,-6,-5,-1,-4,-6,-4
110120,1/20/2011,-8,-10,-11,-9,-6,-9,-11,-9
110121,1/21/2011,-10,-12,-13,-11,-7,-11,-13,-12
110122,1/22/2011,-13,-15,-17,-14,-10,-15,-18,-16
110123,1/23/2011,-19,-20,-23,-21,-15,-20,-23,-22
110124,1/24/2011,-22,-24,-27,-24,-19,-25,-26,-27
110125,1/25/2011,-14,-16,-14,-16,-14,-13,-14,-14
110126,1/26/2011,-5,-8,-6,-6,-6,-5,-7,-6
110127,1/27/2011,-6,-9,-9,-7,-4,-7,-11,-9
110128,1/28/2011,-7,-8,-9,-7,-5,-7,-10,-8
110129,1/29/2011,-5,-8,-7,-6,-3,-5,-9,-7
110130,1/30/2011,-10,-11,-11,-10,-8,-9,-12,-11
110131,1/31/2011,-14,-17,-17,-15,-11,-16,-18,-17
110201,2/1/2011,-13,-16,-14,-14,-12,-12,-14,-13
110202,2/2/2011,-8,-11,-9,-10,-7,-8,-11,-9
110203,2/3/2011,-9,-12,-14,-10,-9,-12,-14,-12
110204,2/4/2011,-8,-10,-11,-9,-10,-10,-12,-11
110205,2/5/2011,-4,-6,-7,-6,-6,-6,-7,-7
110206,2/6/2011,-1,-6,-4,-4,0,-3,-5,-4
110207,2/7/2011,-1,-6,-4,-4,-1,-2,-5,-4
110208,2/8/2011,-8,-13,-12,-11,-7,-10,-12,-11
110209,2/9/2011,-12,-16,-16,-15,-10,-13,-16,-15
110210,2/10/2011,-12,-13,-14,-13,-11,-12,-15,-14
110211,2/11/2011,-13,-14,-14,-14,-12,-14,-16,-14
110212,2/12/2011,-8,-9,-10,-9,-7,-8,-11,-9
110213,2/13/2011,-11,-10,-9,-12,-9,-9,-10,-10
110214,2/14/2011,-2,-6,-4,-4,-1,-4,-5,-4
110215,2/15/2011,-13,-16,-18,-14,-9,-14,-16,-15
110216,2/16/2011,-8,-10,-11,-9,-9,-9,-11,-9
110217,2/17/2011,3,2,0,3,5,2,-2,1
110218,2/18/2011,5,4,4,5,6,5,3,4
110219,2/19/2011,-6,-7,-9,-7,-2,-6,-9,-7
110220,2/20/2011,-12,-12,-16,-12,-7,-12,-16,-13
110221,2/21/2011,-13,-14,-17,-14,-9,-16,-17,-14
110222,2/22/2011,-11,-11,-15,-12,-7,-15,-15,-12
110223,2/23/2011,-8,-9,-10,-9,-5,-5,-10,-7
110224,2/24/2011,-7,-7,-7,-7,-7,-6,-7,-6
110225,2/25/2011,-4,-7,-6,-6,-2,-5,-6,-6
110226,2/26/2011,-11,-12,-12,-12,-6,-10,-12,-12
110227,2/27/2011,-8,-9,-10,-9,-6,-8,-10,-9
110228,2/28/2011,-4,-6,-6,-5,-2,-5,-6,-4
110301,3/1/2011,-6,-9,-9,-6,-7,-7,-9,-8
110302,3/2/2011,-7,-10,-11,-8,-6,-8,-12,-11
110303,3/3/2011,-14,-17,-17,-15,-12,-15,-19,-17
110304,3/4/2011,-9,-12,-12,-11,-10,-11,-13,-11
110305,3/5/2011,-2,-4,-2,-3,-1,-1,-4,-2
110306,3/6/2011,2,1,2,1,3,3,2,3
110307,3/7/2011,-5,-6,-6,-6,-2,-4,-7,-5
110308,3/8/2011,-5,-7,-7,-6,-1,-6,-9,-6
110309,3/9/2011,-6,-7,-7,-6,-3,-6,-8,-6
110310,3/10/2011,-4,-5,-6,-5,-2,-3,-6,-5
110311,3/11/2011,1,0,0,0,2,2,-1,1
110312,3/12/2011,-1,-1,-2,-1,2,1,-2,1
110313,3/13/2011,-1,-2,-2,-1,3,0,-4,-2
110314,3/14/2011,-3,-3,-4,-4,1,-4,-6,-3
110315,3/15/2011,-2,-2,-3,-2,-1,-2,-4,-2
110316,3/16/2011,-2,-3,-2,-2,-1,-1,-2,-1
110317,3/17/2011,4,4,4,4,6,4,1,4
110318,3/18/2011,6,4,6,6,8,6,3,6
110319,3/19/2011,-4,-6,-4,-4,1,-3,-6,-4
110320,3/20/2011,-2,-4,-4,-2,0,-2,-5,-4
110321,3/21/2011,-4,-5,-5,-4,-2,-3,-5,-4
110322,3/22/2011,-4,-6,-4,-4,-1,-3,-4,-4
110323,3/23/2011,-6,-7,-7,-5,-2,-6,-7,-6
110324,3/24/2011,-6,-6,-6,-5,-3,-5,-7,-5
110325,3/25/2011,-7,-7,-7,-7,-2,-6,-7,-7
110326,3/26/2011,-10,-10,-9,-9,-4,-8,-9,-8
110327,3/27/2011,-8,-9,-9,-8,-3,-8,-10,-8
110328,3/28/2011,-6,-7,-7,-6,-1,-6,-7,-6
110329,3/29/2011,-4,-4,-5,-4,0,-4,-6,-4
110330,3/30/2011,-1,-1,-1,-1,3,1,-2,0
110331,3/31/2011,0,0,-1,0,1,1,-1,0
110401,4/1/2011,-2,-2,-2,-2,1,0,-3,-1
110402,4/2/2011,1,0,-1,1,5,1,-2,0
110403,4/3/2011,1,1,0,0,4,1,-3,0
110404,4/4/2011,0,-2,-2,0,0,0,-1,-1
110405,4/5/2011,3,0,0,3,2,2,0,1
110406,4/6/2011,-1,-4,-3,-1,0,-2,-5,-3
110407,4/7/2011,1,-2,-2,1,1,-1,-4,-1
110408,4/8/2011,3,1,1,3,3,1,-1,1
110409,4/9/2011,7,6,5,7,6,5,2,4
110410,4/10/2011,9,7,7,9,9,7,6,7
110411,4/11/2011,9,7,6,8,9,6,6,7
110412,4/12/2011,8,5,6,9,9,5,3,6
110413,4/13/2011,2,3,2,5,5,4,2,4
110414,4/14/2011,2,1,2,4,6,3,1,3
110415,4/15/2011,-2,-2,-1,1,3,0,-2,0
110416,4/16/2011,-3,-3,-2,0,0,-1,-2,-1
110417,4/17/2011,3,2,2,6,7,3,2,3
110418,4/18/2011,4,1,2,5,6,3,1,3
110419,4/19/2011,5,2,3,5,6,4,2,4
110420,4/20/2011,2,-1,1,3,2,2,-1,2
110421,4/21/2011,1,-1,-1,2,3,1,-3,1
110422,4/22/2011,4,1,2,5,5,3,1,3
110423,4/23/2011,2,1,1,1,2,2,1,2
110424,4/24/2011,8,7,7,8,8,7,6,7
110425,4/25/2011,10,8,7,11,10,8,7,7
110426,4/26/2011,9,7,4,10,10,6,8,5
110427,4/27/2011,15,14,10,16,15,11,11,9
110428,4/28/2011,13,10,11,13,14,10,9,8
110429,4/29/2011,10,9,7,11,11,7,6,4
110430,4/30/2011,9,7,7,10,12,6,5,3
110501,5/1/2011,11,8,9,11,11,8,8,5
110502,5/2/2011,12,10,10,11,12,9,9,6
110503,5/3/2011,14,10,10,14,16,11,8,7
110504,5/4/2011,6,5,5,7,8,6,4,2
110505,5/5/2011,4,4,4,6,6,4,3,1
110506,5/6/2011,9,7,7,11,10,8,6,4
110507,5/7/2011,13,12,11,13,12,11,10,7
110508,5/8/2011,11,10,11,12,12,9,9,7
110509,5/9/2011,11,9,10,12,12,10,8,6
110510,5/10/2011,11,9,11,11,11,10,9,7
110511,5/11/2011,13,11,11,13,13,10,10,7
110512,5/12/2011,13,11,12,13,12,10,10,8
110513,5/13/2011,14,13,14,15,14,13,13,11
110514,5/14/2011,11,8,9,11,12,9,9,8
110515,5/15/2011,9,8,9,11,11,9,9,7
110516,5/16/2011,10,8,9,10,10,9,8,6
110517,5/17/2011,10,9,9,11,11,9,9,7
110518,5/18/2011,13,11,11,14,13,12,11,10
110519,5/19/2011,16,14,14,17,16,14,13,12
110520,5/20/2011,19,16,16,19,18,17,15,14
110521,5/21/2011,16,13,14,16,16,14,13,12
110522,5/22/2011,12,9,9,12,12,10,9,8
110523,5/23/2011,8,8,7,10,10,8,7,6
110524,5/24/2011,17,16,15,18,18,16,15,14
110525,5/25/2011,16,14,14,17,17,15,14,13
110526,5/26/2011,20,16,17,20,18,17,17,16
110527,5/27/2011,23,18,20,23,23,20,20,19
110528,5/28/2011,18,14,15,17,18,16,16,15
110529,5/29/2011,20,18,19,21,23,20,19,18
110530,5/30/2011,22,21,21,24,22,20,20,19
110531,5/31/2011,23,20,20,23,21,20,20,19
110601,6/1/2011,22,19,20,22,21,21,21,20
110602,6/2/2011,12,9,11,13,13,12,9,9
110603,6/3/2011,12,9,11,13,13,10,9,8
110604,6/4/2011,13,11,12,14,13,13,12,11
110605,6/5/2011,15,11,13,14,15,13,13,11
110606,6/6/2011,19,16,18,19,18,17,18,17
110607,6/7/2011,21,19,21,21,20,19,20,18
110608,6/8/2011,24,21,24,24,22,22,24,21
110609,6/9/2011,23,20,23,24,24,22,22,18
110610,6/10/2011,19,15,19,19,20,18,17,16
110611,6/11/2011,12,9,11,12,12,11,10,9
110612,6/12/2011,10,7,8,10,11,8,7,7
110613,6/13/2011,14,11,12,14,15,12,11,11
110614,6/14/2011,12,10,9,12,12,10,9,9
110615,6/15/2011,17,16,17,18,17,16,15,15
110616,6/16/2011,20,18,20,20,19,18,19,17
110617,6/17/2011,19,18,18,20,18,17,17,16
110618,6/18/2011,18,16,19,19,19,18,17,16
110619,6/19/2011,16,13,15,16,16,14,14,13
110620,6/20/2011,17,14,17,17,17,16,17,14
110621,6/21/2011,19,17,20,19,19,18,19,17
110622,6/22/2011,19,16,18,18,17,17,19,16
110623,6/23/2011,15,12,14,14,15,13,13,12
110624,6/24/2011,12,9,10,11,12,10,10,9
110625,6/25/2011,13,11,12,13,15,12,11,10
110626,6/26/2011,18,16,17,17,19,17,16,15
110627,6/27/2011,21,19,20,21,22,19,19,18
110628,6/28/2011,20,18,18,19,19,18,19,17
110629,6/29/2011,19,16,17,19,20,18,17,17
110630,6/30/2011,17,14,15,17,18,15,13,14
110701,7/1/2011,18,16,17,18,19,16,16,16
110702,7/2/2011,20,17,19,20,20,18,18,17
110703,7/3/2011,18,16,17,18,19,16,17,16
110704,7/4/2011,22,20,21,22,22,20,21,19
110705,7/5/2011,22,21,22,22,21,21,22,19
110706,7/6/2011,22,21,22,22,22,22,22,21
110707,7/7/2011,19,16,16,19,19,17,17,16
110708,7/8/2011,18,16,16,18,18,17,17,15
110709,7/9/2011,18,16,16,17,18,18,16,16
110710,7/10/2011,20,17,18,19,21,19,18,17
110711,7/11/2011,24,22,22,22,26,22,22,21
110712,7/12/2011,24,21,22,24,25,22,22,22
110713,7/13/2011,19,17,17,19,21,18,17,17
110714,7/14/2011,16,14,15,17,18,16,15,14
110715,7/15/2011,19,17,18,20,19,19,19,18
110716,7/16/2011,20,19,19,21,21,20,20,19
110717,7/17/2011,22,22,22,21,23,21,23,22
110718,7/18/2011,21,20,20,22,22,20,20,19
110719,7/19/2011,21,19,20,21,21,20,21,20
110720,7/20/2011,22,21,21,22,22,21,22,21
110721,7/21/2011,24,23,25,24,26,25,26,25
110722,7/22/2011,28,25,27,28,30,26,27,26
110723,7/23/2011,25,23,25,25,27,24,26,25
110724,7/24/2011,21,18,19,21,22,19,21,19
110725,7/25/2011,17,14,14,16,18,16,16,15
110726,7/26/2011,17,14,15,17,18,17,16,16
110727,7/27/2011,16,15,16,17,16,17,16,16
110728,7/28/2011,19,17,18,19,19,19,19,18
110729,7/29/2011,18,16,17,18,18,18,18,17
110730,7/30/2011,19,17,17,19,22,19,17,17
110731,7/31/2011,19,17,18,20,21,19,18,18
110801,8/1/2011,22,21,20,22,23,21,22,21
110802,8/2/2011,17,16,17,17,19,18,18,17
110803,8/3/2011,17,16,15,18,18,17,16,16
110804,8/4/2011,19,17,17,19,19,18,19,17
110805,8/5/2011,21,18,18,19,21,19,19,19
110806,8/6/2011,23,20,21,23,24,22,22,21
110807,8/7/2011,20,17,18,20,22,19,19,19
110808,8/8/2011,22,20,20,22,23,21,20,19
110809,8/9/2011,20,17,17,20,20,18,18,17
110810,8/10/2011,17,16,16,18,19,17,16,16
110811,8/11/2011,17,16,15,17,19,17,16,16
110812,8/12/2011,16,15,15,17,18,16,16,15
110813,8/13/2011,19,17,17,19,20,18,17,16
110814,8/14/2011,18,16,16,18,19,17,16,16
110815,8/15/2011,14,13,14,15,16,15,13,13
110816,8/16/2011,14,13,13,15,16,14,13,13
110817,8/17/2011,19,17,16,19,19,18,17,17
110818,8/18/2011,20,19,17,20,20,19,20,18
110819,8/19/2011,21,19,18,21,21,19,20,19
110820,8/20/2011,21,19,19,21,22,20,21,19
110821,8/21/2011,21,19,19,21,21,20,21,19
110822,8/22/2011,13,13,13,15,17,14,13,13
110823,8/23/2011,13,13,12,15,16,14,13,13
110824,8/24/2011,20,16,15,18,17,17,17,16
110825,8/25/2011,17,15,15,18,19,17,16,17
110826,8/26/2011,21,18,19,21,21,18,18,17
110827,8/27/2011,20,19,17,20,19,18,18,18
110828,8/28/2011,16,16,14,17,18,15,15,15
110829,8/29/2011,15,14,14,16,17,14,13,14
110830,8/30/2011,16,15,12,16,17,15,14,14
110831,8/31/2011,19,17,16,19,18,17,17,17
110901,9/1/2011,17,16,14,17,17,16,16,15
110902,9/2/2011,19,16,15,19,19,17,16,15
110903,9/3/2011,20,18,18,20,21,19,19,19
110904,9/4/2011,24,21,21,23,24,22,21,21
110905,9/5/2011,17,15,14,17,21,16,15,15
110906,9/6/2011,14,13,12,15,16,14,12,13
110907,9/7/2011,12,11,9,13,14,12,9,11
110908,9/8/2011,16,15,14,16,14,15,14,15
110909,9/9/2011,17,16,14,17,18,16,14,14
110910,9/10/2011,13,12,9,13,15,12,12,11
110911,9/11/2011,12,12,9,13,13,12,11,11
110912,9/12/2011,18,15,17,18,20,17,18,17
110913,9/13/2011,20,18,17,19,19,18,17,17
110914,9/14/2011,17,16,15,17,18,16,16,16
110915,9/15/2011,10,8,7,10,11,9,9,8
110916,9/16/2011,7,6,4,7,9,6,4,4
110917,9/17/2011,10,7,6,9,9,8,7,6
110918,9/18/2011,12,11,8,12,12,10,9,8
110919,9/19/2011,11,10,8,12,11,9,9,8
110920,9/20/2011,10,9,8,11,11,9,10,9
110921,9/21/2011,15,14,12,15,15,14,13,13
110922,9/22/2011,16,15,14,16,16,15,16,15
110923,9/23/2011,19,17,16,19,20,17,17,17
110924,9/24/2011,20,18,18,20,22,19,18,18
110925,9/25/2011,19,17,16,19,21,18,16,17
110926,9/26/2011,20,17,16,19,20,17,17,15
110927,9/27/2011,18,17,15,18,17,16,17,15
110928,9/28/2011,16,14,13,16,16,15,14,14
110929,9/29/2011,13,12,11,14,15,13,13,11
110930,9/30/2011,12,12,11,14,14,12,12,11
111001,10/1/2011,11,11,9,12,13,12,11,11
111002,10/2/2011,11,11,9,12,12,11,11,11
111003,10/3/2011,12,12,9,13,13,11,11,10
111004,10/4/2011,11,10,7,11,12,10,9,9
111005,10/5/2011,6,5,3,6,9,7,5,5
111006,10/6/2011,4,4,2,5,6,4,2,2
111007,10/7/2011,9,8,5,9,9,7,6,6
111008,10/8/2011,16,15,14,17,15,15,14,14
111009,10/9/2011,20,18,17,20,18,19,16,17
111010,10/10/2011,19,17,16,18,18,17,16,16
111011,10/11/2011,13,12,11,14,13,12,10,11
111012,10/12/2011,9,9,6,11,9,9,8,8
111013,10/13/2011,9,9,8,11,11,10,10,9
111014,10/14/2011,11,12,12,14,14,13,13,13
111015,10/15/2011,9,8,6,10,11,10,8,8
111016,10/16/2011,9,7,4,9,9,7,5,5
111017,10/17/2011,8,7,4,9,9,5,5,5
111018,10/18/2011,9,9,6,10,10,7,7,6
111019,10/19/2011,9,7,7,10,9,9,8,7
111020,10/20/2011,10,8,6,10,11,7,8,8
111021,10/21/2011,7,6,4,9,9,4,5,4
111022,10/22/2011,6,6,3,7,8,3,5,4
111023,10/23/2011,4,4,1,5,7,1,3,2
111024,10/24/2011,6,6,3,7,6,4,4,3
111025,10/25/2011,6,5,1,7,8,5,2,2
111026,10/26/2011,3,2,0,5,5,2,1,1
111027,10/27/2011,0,-1,-3,1,3,0,-1,-2
111028,10/28/2011,-1,-1,-5,1,2,-2,-3,-5
111029,10/29/2011,-1,-3,-6,-1,0,-3,-4,-5
111030,10/30/2011,-1,-2,-5,0,2,-2,-3,-4
111031,10/31/2011,1,1,-2,2,4,2,-1,-1
111101,11/1/2011,3,3,-1,4,4,2,1,0
111102,11/2/2011,5,5,0,6,4,2,2,0
111103,11/3/2011,6,6,2,7,5,5,4,2
111104,11/4/2011,2,0,-3,2,4,0,-1,-3
111105,11/5/2011,2,1,-3,2,3,0,-2,-3
111106,11/6/2011,6,5,1,5,4,2,2,-1
111107,11/7/2011,9,10,4,9,7,7,7,5
111108,11/8/2011,12,10,8,12,12,9,7,7
111109,11/9/2011,13,10,9,13,11,10,10,9
111110,11/10/2011,9,7,9,10,11,8,8,7
111111,11/11/2011,2,0,-2,2,4,0,-1,-2
111112,11/12/2011,2,0,-2,2,4,0,-1,-4
111113,11/13/2011,6,6,3,6,5,4,4,2
111114,11/14/2011,8,9,7,9,9,10,8,6
111115,11/15/2011,8,7,5,9,8,7,7,5
111116,11/16/2011,7,5,4,6,4,5,5,4
111117,11/17/2011,3,1,-1,3,4,2,1,0
111118,11/18/2011,0,-2,-5,0,1,-2,-4,-6
111119,11/19/2011,2,0,-2,1,2,0,-1,-4
111120,11/20/2011,6,5,4,6,6,6,4,2
111121,11/21/2011,0,-1,-4,0,1,-1,-2,-3
111122,11/22/2011,0,-1,-6,0,-1,-3,-3,-4
111123,11/23/2011,-1,-3,-5,-1,0,-3,-3,-3
111124,11/24/2011,-4,-4,-7,-3,-2,-4,-4,-4
111125,11/25/2011,2,5,1,2,1,3,2,2
111126,11/26/2011,6,7,2,6,5,4,3,5
111127,11/27/2011,5,3,0,4,3,3,3,4
111128,11/28/2011,9,7,5,8,5,6,7,8
111129,11/29/2011,10,9,6,10,9,9,9,10
111130,11/30/2011,8,6,3,7,9,6,5,7
111201,12/1/2011,1,-2,-5,1,2,-2,-2,-1
111202,12/2/2011,-1,-2,-5,-1,-1,-2,-3,-2
111203,12/3/2011,0,-3,-7,0,0,-4,-5,-4
111204,12/4/2011,1,-2,-5,1,0,-3,-2,-1
111205,12/5/2011,5,3,4,5,2,4,3,4
111206,12/6/2011,8,6,7,8,5,8,6,6
111207,12/7/2011,6,1,2,5,5,4,2,4
111208,12/8/2011,-2,-6,-4,-2,-1,-2,-4,-2
111209,12/9/2011,-3,-5,-4,-2,-2,-2,-6,-3
111210,12/10/2011,-6,-8,-7,-6,-3,-5,-8,-7
111211,12/11/2011,-7,-10,-9,-6,-4,-7,-7,-9
111212,12/12/2011,0,2,-2,1,0,-3,-3,-5
111213,12/13/2011,1,-1,-2,2,-1,0,-3,-1
111214,12/14/2011,-1,-1,-2,-1,0,-1,-4,-1
111215,12/15/2011,2,2,0,2,-1,2,-1,1
111216,12/16/2011,2,1,1,3,2,2,-2,0
111217,12/17/2011,-8,-8,-9,-7,-6,-8,-12,-10
111218,12/18/2011,-10,-12,-16,-11,-9,-15,-17,-16
111219,12/19/2011,-6,-6,-7,-6,-6,-6,-8,-8
111220,12/20/2011,-4,-7,-6,-4,-4,-6,-7,-6
111221,12/21/2011,-2,-3,-1,-3,-6,-2,-3,-3
111222,12/22/2011,4,1,3,2,3,2,0,1
111223,12/23/2011,-5,-7,-7,-5,-2,-6,-8,-6
111224,12/24/2011,-12,-14,-15,-11,-9,-14,-16,-15
111225,12/25/2011,-11,-11,-11,-11,-11,-11,-12,-11
111226,12/26/2011,-6,-7,-6,-6,-5,-6,-8,-7
111227,12/27/2011,-2,-4,-2,-2,-4,-2,-4,-2
111228,12/28/2011,-2,-5,-5,-2,-2,-4,-6,-4
111229,12/29/2011,-12,-14,-15,-12,-9,-14,-17,-14
111230,12/30/2011,-7,-8,-8,-7,-8,-7,-9,-7
111231,12/31/2011,1,-1,0,-1,-1,0,-1,1
120101,1/1/2012,3,1,1,2,5,1,-1,1
