Watershed,Are_km2,Gradient,Drainage_density,Relief,Geologic_Formation,Max_Storage
504,11.9,0.97,16,1961,Franciscan,294.3
505,6.2,1.04,17.5,2111,Franciscan,392.4
526,5.1,0.96,14.8,1371,Franciscan,232.3
523,22.8,1.01,16.6,2678,Franciscan,286.7
511,56.9,1.25,20.8,2328,Wildcat,354.3
510,50.3,1.06,16.2,2092,Wildcat,455.9
533,6.3,0.91,16.6,1179,Wildcat,268.7
517,5.7,1.48,28.1,821,Wildcat,462.2
519,4.9,1.12,15.3,1641,Wildcat,430.5
522,4.3,1.15,13.8,1197,Wildcat,514.9
534,3,1.24,13.9,815,Wildcat,544.4
528,12,1.39,24.4,924,Wildcat,514.1
506,8.2,1.41,22.5,2198,Wildcat,651.7
527,4.6,1.25,19.5,1297,Wildcat,408.7
509,111.7,1.15,18.7,2338,Wildcat,418.3
188,16.2,1.02,15.6,1621,Yeger,438.7
183,19.5,1.04,16.6,1853,Yeger,297.7